epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,128.644,1.66597,1.5613,1.79655,0.49095,0.46875,0.51364,0.26844,1.57795,1.19833,1.48384,0.000610789,0.000610789,0.000610789
66,130.775,1.61191,1.5248,1.78363,0.95407,0.4375,0.49288,0.27043,1.48837,1.18946,1.44481,0.000594286,0.000594286,0.000594286
67,132.834,1.6189,1.46202,1.76218,0.94304,0.46875,0.50958,0.27589,1.41315,1.17207,1.40842,0.000577782,0.000577782,0.000577782
68,134.522,1.56998,1.42866,1.71611,0.48543,0.46875,0.55137,0.31109,1.35126,1.1097,1.43759,0.000561279,0.000561279,0.000561279
69,136.178,1.49371,1.31954,1.70718,0.67573,0.853,0.82443,0.33492,1.41022,1.09286,1.46307,0.000544776,0.000544776,0.000544776
70,138.044,1.48922,1.31701,1.70145,0.53543,0.93273,0.82129,0.30593,1.68476,1.07621,1.57466,0.000528272,0.000528272,0.000528272
71,140.117,1.45051,1.35497,1.77517,0.64218,0.75,0.89671,0.33559,1.6302,1.04918,1.53198,0.000511769,0.000511769,0.000511769
72,142.737,1.47271,1.35001,1.77297,0.62737,0.71875,0.88022,0.34226,1.55654,1.06098,1.47707,0.000495266,0.000495266,0.000495266
73,144.715,1.43803,1.24017,1.66606,0.7342,0.86802,0.96413,0.34663,1.51568,1.0656,1.44259,0.000478762,0.000478762,0.000478762
74,146.528,1.54614,1.34145,1.72248,0.6132,0.71875,0.7293,0.32532,1.53434,0.98789,1.43165,0.000462259,0.000462259,0.000462259
75,148.262,1.36518,1.20438,1.55878,0.55464,0.71875,0.54732,0.28473,1.51678,0.93698,1.42356,0.000445756,0.000445756,0.000445756
76,149.946,1.48477,1.26634,1.64288,0.59274,0.71875,0.57417,0.32408,1.49132,0.92053,1.37552,0.000429253,0.000429253,0.000429253
77,151.574,1.48,1.27935,1.65545,0.62979,0.71875,0.572,0.30836,1.41263,0.87488,1.36229,0.000412749,0.000412749,0.000412749
78,153.473,1.39326,1.23829,1.58577,0.61072,0.71875,0.572,0.30997,1.39474,0.9435,1.39878,0.000396246,0.000396246,0.000396246
